id,cr,reference_en,baseline_prediction,cultural_prediction,tri_prediction,expected_translation,baseline_prediction_csi_match_score,baseline_prediction_csi_match_success
cuisine_48_hat_eng,epina,Spinach,Spinach,Spinach,Spinach,spinach|leafy greens,100.0,True
cuisine_250_hat_eng,Pen pòmdetè Desè a k ap fonn,Pain Patate The melting dessert,Breadcrumbs Potatoes Desserts are melting,Potato Bread The Melting Dessert,Potato Bread The Melting Dessert,sweet potato pudding | melting dessert,55.072463768115945,False
cuisine_263_hat_eng,"Melanje farin, siwo kann, kannèl ak noutmèg.","Mix flour, cane syrup, cinnamon and nutmeg.","Mix flour, sugar cane, cinnamon and nutmeg.","Mix flour, cane syrup, cinnamon and nutmeg.","Mix flour, cane syrup, cinnamon and nutmeg.","Mix flour, cane syrup, cinnamon, and nutmeg | Combine flour, cane syrup, cinnamon, and nutmeg",83.72093023255813,True
fanm_8_hat_eng,Mimoz,Mimoz,Mimoz,Mimoz,Mimoz,Mimosas|Mimosa,88.88888888888889,True
cuisine_28_hat_eng,Manyòk,yuca,Manyòk,Manioc,Manioc,cassava | manioc,50.0,False
expression_17_hat_eng,Met dlo nan diven,"To calm down, to not make a big deal out of a situation.",Put water into wine,Put water in wine,Put water into wine,to tone it down | to make a fuss over nothing,58.82352941176471,False
proverb_148_hat_eng,"Nen pran kou, je kouri dlo; je pran kou, nen kouri dlo.","The nose is hurt, the eyes water; the eyes are hurt, the nose runs.","Knock, I run; knock, I run.","The nose that strangles, the eyes run away from the tears; the eye that strangles, the nose runs away from the tears.","The nose gets hit, the eyes run away from the tears; the eye gets hit, the nose runs away from the tears.","What affects one part affects the whole | When one thing suffers, everything feels it",37.03703703703704,False
zile_124_hat_eng,foto ou pran woulib sou glas fele larivyè jele,your foto hitches a ride on the cracked ice of a frozen river,Your picture takes you on a jellyfish ride,Your picture takes you on a jellyfish ride,Your picture of you riding on the ice of the jelly river,your photo rides on thin ice | your photo is skating on thin ice,51.42857142857142,False
fanm_65_hat_eng,"Dènye rèl Anriyèt la te sèvi kouwè yon kleren majik ki chofe nanm tout esklav revòlte, tout afranchi revolisyonè.",Henriette's last cry was akin to a powerful rhum that would warm the souls of all the rebellious slaves and freedmen that had joi­ned in revolution.,"The Last Supper served to sew a magical garment that warmed the souls of all rebellious slaves, all revolutionary outlaws.",Henriette's last cry served as a magic curtain which warmed the souls of all revolutionary slaves and liberals.,Henriette's last cry served to hide a magical clerens that warmed the souls of all revolutionary slaves and liberals.,"Henriette’s final cry was like a potent rum that warmed the hearts of all the rebellious slaves and freedmen | Henriette’s last cry was like a magical rum, stirring the souls of every rebel slave and freedman",58.00865800865801,False
cuisine_239_hat_eng,akonpaye pa yon bon pikliz pikant.,"It is often served with diri kole (rice with red peas) or plantains, accompanied by a good spicy pikliz.",accompanied by a good spicy pickle.,Accompanied by a good spicy pikliz.,Accompanied by a good spicy pikliz.,served with spicy pikliz | accompanied by a good spicy pikliz,92.7536231884058,True
fanm_179_hat_eng,disoud palman an ouben mande chèf opozisyon an pou fòme yon nouvo gouvènman lè sa nesesè;,teach them how to work to build a strong and generous community;,to dissuade the parliament or to ask the leaders of the opposition to form a new government when necessary;,dissolve the parliament or ask the leader of the opposition to form a new government when necessary;,to dissuade the parliament or to ask the leader of the opposition to form a new government when necessary;,dissolve parliament or ask the opposition leader to form a new government when needed | dissolve parliament or let the opposition leader form a new government when necessary,78.75647668393782,False
ife_480_hat_eng,"nou dwe aprann ajiste pasyon nou yo, youn fason pou nou rive kwoke dyakout nou mezi ponyèt nou ka rive.","we must keep our passion in check and avoid overreaching,","We must learn to adjust our passions, one way in which we can reach the length of our wrist.","We must learn to adjust our passions, one way of reaching the length of our wrist.","We must learn to adjust our passions, one way to reach the length of our wrist.",we must keep our passions in check | we shouldn’t bite off more than we can chew,57.14285714285714,False
fanm_237_hat_eng,M te kon yon egare.,"I was there, dazed ...",I was in a coma.,I was like a snitch.,I was like a hypocrite.,I was kind of out of it | I was dazed,71.42857142857143,False
ife_252_hat_eng,"Konsa, nou va tounen marasa dosou dosa nan rasin dlo, metrès tout fom lavi sou latè.","Our two lives will fuse into one like those spirits dwelling at the source of the water, mistress of all forms of life on earth.","Thus, we will become unconcerned in the water roots, the mistress of all forms of life on earth.","Thus, we will become two-eyed beasts at the root of water, the master of all life on earth.","In this way, we will become the twins of dosou dosà at the water roots, the masterpiece of all forms of life on earth.","Our lives will become one, like the spirits at the source of the water, mistress of all life on earth. | We will be joined as one, like the water spirits, mistress of all life on earth.",73.62637362637363,False
zile_111_hat_eng,Chalè ou fonn nan san-m fe laviwonn venn mwen,Your warmth melts in my blood makes a tour of my veins,Your warmth melted into my blood-steel veins,Your warmth melts in my blood making my veins sweep,Your warmth melted into my blood making my veins sweep,Your warmth runs through my veins | Your warmth flows through my blood,64.1025641025641,False
fanm_141_hat_eng,"Jounen jodiya ansyen Prezidan Ertha Pascal ap viv lakay li, nan katye Kriswa, kote l ap ekri liv, l ap prepare konferans, l ap bay sè ak frè legliz li konsèy pou yo byen viv lafwa yo.","Former President Ertha Pascal now lives at her residential home, writing books, presenting lec­ tures, and advising her sisters and brothers to live their faith.","Today former President Ertha Pascal lives in her home in Christchurch, where she writes books, prepares lectures, and gives her sister and brother church counsel on how to live their faith successfully.","Today, Ertha Pascal, the former president of the church, lives in her home in the vicinity of Christo, where she writes books, prepares lectures and gives advice to her sister and brother in order to live the good life of their faith.","Today, Ertha Pascal, the former president of the church, lives in her home in the vicinity of Christ, where she writes books, prepares lectures and gives advice to her sister and brother in the faith.","Former President Ertha Pascal now lives at home, where she writes books, gives lectures, and counsels fellow church members on living their faith | Former President Ertha Pascal currently lives in her home in Kriswa, writing books, preparing talks, and advising her church family on how to live out their faith",70.13698630136986,False
charlemagne_15_hat_eng,Ti gason sa a te fèt 10 Oktòb 1885 nan vil Ench.,"Francios was born on octiber 10, 1885 in « Hinche ».",This boy was born 10 October 1885 in the town of Ench.,"This boy was born on October 10, 1885 in the city of  Hinche .","This boy was born on October 10, 1885 in the city of  Hinche .","Francios was born on October 10, 1885, in Hinche. | Francios was born in Hinche on October 10, 1885.",66.66666666666667,False
proverb_304_hat_eng,Malè pa mal pou rive.,Trouble comes so easily,Misfortune is about to happen.,Misfortune is not bad to happen.,Misfortune is not a bad thing to happen.,Trouble comes easily | Misfortune comes all too easily,63.33333333333333,False
fanm_59_hat_eng,Te gen lòt Ayisyèn vanyan ki te konn fè travay sa a tou.,Other courageous Haitians also played this game.,There were other mighty Haitians who could do this job too.,There were other brave Haitians who could do this job.,There were other brave Haitians who also did this work.,Other brave Haitian women did this too. | There were other strong Haitian women who did this too.,75.43859649122807,False
cuisine_106_hat_eng,piman dou,bell peppers,Peppermint dou,Sweet peppers,Sweet peppers,sweet peppers|capsicums,50.0,False
charlemagne_71_hat_eng,Ameriken yo sispèk Chalmay ak demi frè li jeneral Saül Péralt te nan konplo avèk rebèl yo.,Charlemagne Peralte and his half brother Saul Pralte are accused of being partners with rebels.,Americans suspect Chalmay and his half-brother General Saul Peralt were in collusion with the rebels.,The Americans suspected Charlemagne and his half-brother general Saul Peralte were in collusion with the rebels.,The Americans suspected Charlemagne and his half-brother general Saul Peralte were in collusion with the rebels.,The Americans suspected Charlemagne and his half-brother General Saül Péralte of conspiring with the rebels | The Americans believed Charlemagne and his half-brother General Saül Péralte were in league with the rebels,84.15841584158416,True
ife_24_hat_eng,Se nan mitan ambyans sa a nou te dekouvri youn bèl galèt marasa kote karès nou te fè nich.,It was in the midst of that ambiance that we discovered that large oval boulder.,It was in the midst of this ambiance that we discovered one beautiful biscuits without sides where our caress made them.,It was in the middle of this ambience that we discovered a beautiful steamy pasture where our caress had nestled.,It was in the middle of this ambiance that we discovered a beautiful galaxy where our caresses nestled.,"It was in the middle of that atmosphere that we found that big oval stone | In that setting, we came upon that large oval boulder",57.01754385964912,False
zile_150_hat_eng,Lè fanm vanyan ap mache li pòtre ak Manzè Lavi,When a brave womnan's out walking she looks just like Mistress Life,When brave women walk it is portrayed with Manze Lavi,"When courageous women walk, she is portrayed as the Mother of Life.","When a brave woman walks, she is portrayed as the Mother of Life",A brave woman carries herself like life itself | A strong woman walks with the grace of Mistress Life,53.333333333333336,False
cuisine_133_hat_eng,"Kwit pwa pijon yo ak epis santi bon (lay, zonyon, tim, pèsi).","Cook the pigeon peas with spices (garlic, onion, thyme, parsley).","Cook the dove beans with spices (dried garlic, onion, thyme, parsley).","Cook the dove beans with spices (garlic, onion, thyme, parsley).","Cook the dove beans with spices (garlic, onion, thyme, parsley).",Cook the pigeon peas with seasonings | Prepare the pigeon peas with herbs and spices,57.14285714285714,False
expression_12_hat_eng,Chape poul,To escape,Chicken Hat ,Escape chicken,Escape chicken,to get away | to flee,36.36363636363637,False
cuisine_257_hat_eng,Tranpe mayi sèk ak pwa wouj anvan ou kwit manje ak epis santi bon.,Soak dry corn and red peas before cooking with spices.,Soak dry corn and red beans before cooking with spices.,Soak dried corn with red beans before cooking with spices.,Soak dried corn with red beans before cooking with spices.,Soak the corn and red beans before seasoning and cooking | Soak dried corn and red peas before cooking with spices,92.72727272727272,True
proverb_205_hat_eng,Se nan chemen ou konnen sa-k pase nan chanm.,It is on the road that you learn what goes on in [your] room.,Either way you know what's going on in the bedroom.,It's the way you know what happens in the bedroom.,It's the way you know what happens in a room.,You learn life by getting out into the world | Experience teaches you what you need to know,51.162790697674424,False
fanm_36_hat_eng,Men sa ki pi enpòtan pou nou konnen sèke Anakawona te renmen anpil anpil lavi atis.,It must be remembered that Anacaona loved the life of an artist very much.,But the most important thing for us to know is that Anakawona enjoyed so much life as an artist.,But the most important thing for us to know is that Anakaona loved the life of an artist.,But the most important thing for us to know is that Anacaona loved the life of the artist very much.,It should be remembered that Anacaona deeply loved the artistic life | One important thing to know is that Anacaona had a great love for the arts,65.89595375722543,False
ife_67_hat_eng,"Men, bonnanj mwen va bay bonnanj ou kristė, menm jan li toujou fèpandan tout peyòd lesefrape distans manchlonng ki soude ekzistans nou an.","However, my spirit is going to tickle your spirit as it did on the day when we had to fight to dispel the feeling of distance between us.","But I am going to give to you Christ, just as it always depends on all the layers of the distance that have ensured our existence.","But I will bless you with all the joy of Christ, as it always does.","But I will give my love to your love, as it has always been through all the pairs of pairs, straddling the long-distance that has softened our existence.","My spirit will stir yours, just as it always has when we fought to bridge the distance between us | My soul will reach out to yours, as it did when we struggled to overcome the distance between us",55.50660792951542,False
fanm_165_hat_eng,"li pale, li ekri 5 lang :",She speaks and writes 5 languages:,It speaks and writes 5 languages :,She speaks and writes five languages:,She speaks and writes five languages:,She is fluent in 5 languages | She speaks and writes 5 languages fluently,91.17647058823529,True
zile_31_hat_eng,ki jou latè va rale youn kanpo san kè kase ?,When will the earth pull up to rest without heartbreak ?,When will the earth pull one out without breaking ?,When will the earth emerge without a broken heart?,When will the earth emerge into a new world without a broken heart?,When will the world finally rest in peace? | When will there be peace on earth?,58.06451612903225,False
fanm_159_hat_eng,Li patisipe nan plizyè film nan kolaborasyon avèk mari li Daniel Lafond.,"She has participated in the making of several films in col­ laboration with her husband, Daniel Lafond.",She participated in several films in collaboration with her husband Daniel Lafond.,She participated in several films in collaboration with her husband Daniel Lafond.,She participated in several films in collaboration with her husband Daniel Lafond.,"She has worked on several films with her husband, Daniel Lafond. | She has collaborated with her husband, Daniel Lafond, on several films.",76.71232876712328,False
cuisine_21_hat_eng,Kremas,creamy coconut spiced rum beverage,Kremas,Kremas,Kremas,Haitian cream liqueur | spiced coconut rum drink,50.0,False
fanm_343_hat_eng,Se pou nou gen fyète lang nou!,"Be proud of your lan­ guage,",Let us be proud of our language!,Let us be proud of our tongue!,Let us be proud of our tongue!,Be proud of our language | Let’s be proud of our language,93.5483870967742,True
cuisine_93_hat_eng,sitou pandan okazyon espesyal ak festival.,especially during special occasions and celebrations.,especially during special occasions and festivals.,especially during special occasions and festivals.,especially during special occasions and festivals.,especially on special occasions | especially during festivals,80.43478260869566,True
proverb_59_hat_eng,Degaje pa peche.,To get by is not a sin.,Rest assured.,Discharging does not sin.,Being discouraged is not a sin.,Making do is no sin | Getting by isn’t wrong,34.78260869565217,False
cuisine_76_hat_eng,djondjon,Mushroom,Mushroom,Mushroom,Mushrooms,mushroom | wild mushroom,100.0,True
proverb_154_hat_eng,Ou pa fouye zo nan kalalou.,You do not dig up bones in akra.,You have not digged the bones of the lobster.,You don't dig the bones of donkeys.,You don't dig the bone of a donkey.,Don’t stir up old trouble | Let sleeping dogs lie,40.0,False
ife_385_hat_eng,ou ta di yo pran pli satiyèt pou lage mwen toutouni ak ri.,Sometimes they seem to take a ticklish pleasure in exposing me naked.,You would have told them to take longer hours to release me naked and laughing.,You would have told them to take longer to release me naked and laughed.,You would have told them to take longer to release me naked and laughed.,they seem to enjoy humiliating me | they take pleasure in exposing me,46.875,False
cuisine_9_hat_eng,"yon eritaj ki pase de jenerasyon an jenerasyon,","a heritage passed down from generation to generation,","a legacy passed down from generation to generation,","A legacy passed down from generation to generation,","A legacy passed from generation to generation,",a legacy passed down through generations | a tradition handed down through the generations,78.35051546391753,False
ife_504_hat_eng,Gwo Bo,I love you my darling Soul Ife,Big Bo,Big Kisses,Big Kisses,my big kiss | my darling sweetheart,66.66666666666667,False
zile_230_hat_eng,Avèk youn bèl flè Ayiti Ki t'ap dekore youn kè anbalan,with a bcautiful Haitian flower pinned to my stumbling heart,With one beautiful Haitian flower that will decorate one balanced heart,With a beautiful flower of Haiti Decorating a balanced heart,With a beautiful flower of Haiti Decorating a balanced heart,with a beautiful Haitian flower pinned to my wavering heart | with a lovely Haitian flower adorning my faltering heart,68.46846846846847,False
cuisine_115_hat_eng,"Ajoute pòmdetè, kawòt ak pwa vèt.","Add potatoes, carrots and green beans.","Add potatoes, carrots and green beans.","Add potatoes, carrots and green beans.","Add potatoes, carrots and green beans.","Add potatoes, carrots, and green beans | Toss in potatoes, carrots, and green beans",97.36842105263158,True
zile_38_hat_eng,Monte apik,Rises straight up,Mount Appian,Ride steep,Ride steep,shoots up|goes straight up,38.095238095238095,False
ife_64_hat_eng,Sa se mistè lavi! Se poutèt sa.,There lies the whole mystery of life.,That's the mystery of life! That's why.,That is the mystery of life!,That is the mystery of life.,That’s the mystery of life. | That’s what life is all about.,87.17948717948718,True
fanm_38_hat_eng,"Limenm te patisipe nan envante pwezi, chante;",She devoted herself to poetry and singing.,"Limenm took part in inventing poetry, singing;","Limenm took part in inventing poetry, singing;",The mind took part in inventing poetry and singing;,She was devoted to poetry and song | She dedicated herself to poetry and singing,54.28571428571429,False
cuisine_45_hat_eng,radi,Raddish,radi,radius,radius,radish|turnip,100.0,True
zile_62_hat_eng,Poudre wòch galèt,Powders riverbank stones,Powdered stone biscuits,Poud stones giblets,Poudre roche galet,waste your time | do something impossible,43.47826086956522,False
fanm_77_hat_eng,Madan Pajo,Madame Pajo,Madan Pajo,Madan Pajo,Mrs Pajo,Mrs. Pajo | Madam Pajo,90.0,True
fanm_157_hat_eng,Se konsa li rantre nan televizyon « Radyo-Kanada ».,She joined Radio-Canada television.,So he joined the channel  Radio-Canada .,"That's how she joined the channel ""Radio-Canada"".",That is how she joined the channel  Radio-Canada .,She joined Radio-Canada TV | She became part of Radio-Canada television,75.0,False
cuisine_70_hat_eng,"Yon plat senp men plen karaktè,","A simple but characterful dish,","A plate simple but full of character,","A simple dish but full of character,","A simple but full of character dish,",A simple yet flavorful dish | A humble dish with plenty of character,64.51612903225806,False
cuisine_24_hat_eng,Lambi,conch,Lambi,Lambi,Lambi,conch shell|sea snail,50.0,False
fanm_264_hat_eng,"yo vle vanse pou yo bliye doulè a, pou yo donte chagren yo.","They want to move forward to forget their pain, to tame their grief.","They want to move to forget the pain, to heal the grieving.","They want to hurry to forget the pain, to bear the sorrows.","They want to move forward to forget the pain, to quench their sorrows.",They want to move on and forget their pain | They want to keep going and ease their grief,75.22935779816513,False
fanm_209_hat_eng,"Mwen sere li pi fò epi mwen pa sispann pale avèk li, yon jan pou mwen ba li konfyans.","I hugged her very tightly and kept talking to her, to give her confidence.","I shrug it harder and I don't stop talking to her, somehow to give her confidence.","I shelter her stronger and I do not stop talking to her, in a way that gives her confidence.","I held her tightly and kept talking to her, in order to give her confidence.",I held her close and kept talking to reassure her | I hugged her tightly and kept talking to comfort her,52.348993288590606,False
fanm_110_hat_eng,"Epi, dapre sa pi fò moun rapòte, li te fè sa jou 18 me a nan Kongrè Akayè a.","Catherine Flon, a woman of history As we have noticed, Catherine Flon has always been associated with the creation of the flag.","And, according to most reports, he did so on May 18th at the Achaean Congress.","And, according to most reports, he did so on May 18th at the Congress of Achaea.","And, according to most reports, he did so on May 18th at the Achaia Congress.","And, according to most accounts, she did this on May 18 at the Congress of Arcahaie. | And, as many have reported, she carried out this act on May 18 at the Congress of Arcahaie.",83.22147651006712,True
ife_455_hat_eng,Nou dwe abiye rèv nou Van lespwa se kànva,Let's dress our dreams with festoons and gems The winds of hope are on a quest,We must dress up our dream Van Hope is a well,We must dress our dreams The wind of hope is a well,We must dress our dreams The wind of hope is a dove,Let’s adorn our dreams with hope and beauty | Hope’s winds are carrying us forward,59.523809523809526,False
cuisine_113_hat_eng,"legim ak epis santi bon, mitone ansanm pou bay yon gou rich, santi bon.","vegetables and spices, simmered together to give a rich and fragrant flavor.","Vegetables and spices, mixed together to give a rich, fragrant taste.","Vegetables and spices, simmered together to give a rich, fragrant taste.","Vegetables and spices, simmered together to give a rich, fragrant taste.","vegetables and spices simmered into a rich, fragrant dish | a flavorful vegetable and spice blend cooked together until aromatic",75.40983606557377,False
charlemagne_73_hat_eng,"Yo bay lòd boule kay Chalmay, Yo bay lòd piye kay Saül Peralt, yo bay lòd asasinen Saül Péralte",The americans ordered Charlemagne House to be burned down and Saul house got burglarized.,"They ordered the burning of Chalmay, They ordered the burning of Saul Peralt, They ordered the murder of Saul Peralt","They ordered the burning of Charlemagne's house, they ordered the pillage of Saul Peralte's house, they ordered the murder of Saul Peralte's house.","They ordered the burning of Charlemagnes house, they ordered the looting of Saul Peraltes house, they ordered the murder of Saul Peraltes house.","The Americans ordered Charlemagne’s house burned down and Saul’s house looted | The Americans ordered Charlemagne’s house burned down, Saul’s house ransacked, and Saul Péralte assassinated",50.86206896551724,False
ife_619_hat_eng,Wout lavia se pa youn wout pyèsmounn kapab fè san sipò lèzot.,"Let's keep on seeking the light, faithfully, without being blinded by foolish pride.",Rout lavia is not one piece of road that can be done without the support of lazot.,The road to freedom is not the only road that one can take without the support of the lazote.,The road of life is not the only road that one can take without the support of others.,We can’t make it alone; we need each other’s support. | No one can walk life’s path without the help of others.,54.54545454545454,False
ife_612_hat_eng,"chak chedev yo reyalize,",each masterpiece created with wisdom is a reflection of achievement,"chak chedev yo realize,","each chedev they accomplish,","each chedev they accomplish,",every masterpiece reflects wisdom and accomplishment | each work of art is a sign of achievement,41.17647058823529,False
fanm_6_hat_eng,pou pote chanjman sou latè beni.,Those who bring Changes to our world.,to bring about world change.,to bring about change in the world.,to bring change to the world.,Those who bring change to our blessed world | People who make a difference in our world,60.0,False
ife_33_hat_eng,"Se te fason pa Mòn Lopital pou lite lage dlo je-l sou youn orevwa ki ta pral vire vitametènam. Oubyen tou, se te lason papou'l te di nou: « anmore pa tire foto-m ».",Morne lHopital was coyly saying a final goodbye with tears in her eyes.,Maybe it was the way by Mount Hospital for me to release my eyes on a vein that was going to turn into vitamin E. Or maybe it was what my grandfather said to us: Dont take my picture anymore.,It was the way of Mont Hôpital that she tried to put her tears on a goodbye that would turn into a lot of vitamins. Or it was the lesson that she taught us: Dont shoot my picture.,That was the way that Morne l'Hôpital fought to put her tears on a goodbye that would turn into a life-changing kiss. Or it was the lesson that her father used to tell us: Don't shoot my picture.,Morne lHopital was saying a tearful goodbye | Morne lHopital was bidding farewell with tears in her eyes,52.38095238095239,False
ife_101_hat_eng,Dan sere.,Let us be strong.,Teeth tight.,Teeth tight.,Teeth tight.,Stay strong | Be strong,40.0,False
expression_60_hat_eng,Gate san,to be angry,Gate san,The Gate of Blood,Gate of blood,to be mad | to be upset,50.0,False
cuisine_92_hat_eng,"Kabrit nan sòs se yon plat popilè ann Ayiti,","Cabri en sauce is a popular dish in Haiti,","The goat sauce is a popular dish in Haiti, he said.","Goat in sauce is a popular dish in Haiti,","Goat in Sauce is a popular dish in Haiti,",goat stew | goat in sauce,66.66666666666667,False
fanm_122_hat_eng,"Alòske papa li te mouri lè li gen 3 zan, li te rete avèk espwa pou li jwenn papa li.","Although her father died when she was only three years old, she dreamed and still hoped to find him.","Although his father died when he was three years old, he lived with the hope of finding his father.","Although her father died when she was three years old, she lived with the hope of finding her father.","Although her father died when she was only three years old, she lived with the hope of finding her father.","Although her father died when she was just three, she still hoped to find him | Even though her father passed away when she was three, she never stopped hoping to find him",70.05649717514125,False
ife_349_hat_eng,"Sepandan, si mwen sonje byen, chak fwa nou abòde sije saa, ou te di mwen sa se estrateji lavi.",I must reach down deep into my brain to find the seed of power that will allow me to deal with the reality of my loneliness.,"However, if I remember correctly, whenever you approached me, you told me that this is life strategy.","However, if I remember correctly, whenever you approached me, you always told me that this was life's strategy.","However, if I recall correctly, whenever you approached me like that, you told me that this is life's strategy.","If I remember right, every time we’ve talked about this, you told me that’s just life’s strategy. | As far as I recall, whenever we brought this up, you said that was the way life works.",64.64646464646464,False
cuisine_231_hat_eng,Pwason Gro Sel Otantisite nan gou yo nan lanmè a,Pwason Gro Sel Authentic Sea Flavors,Fish Gro Cells The authenticity of the flavors of the sea,Fish Gro Sel The authenticity of the flavors of the sea,Pwason Gro Sel The authenticity of the flavors of the sea,Authentic Sea Flavors | True Taste of the Sea,72.28915662650603,False
ife_320_hat_eng,Se yo tout ansanm ki gen pou pote lajwa nan jounen nou lè lavyeyes deside poze brid li sou nou.,Those are springs of happiness that will carry streams of happiness into the dull days of our later lives.,They are all collectively responsible for bringing joy to our day when lavyeyes decide to put her brid on us.,They all together bring joy to our day when the snowmen decide to take over our splendor.,"They are all, together, responsible for bringing joy to our day when the rainbow decides to lay its brim on us.",They are the ones who will bring joy to our later years | They will be the source of happiness in our old age,55.670103092783506,False
fanm_7_hat_eng,Men kèk fanm ki kapab sèvi modèl pou jèn nou yo.,So here are some acceptable women To serve as role models for our young people.,These are some women who can serve as role models for our youth.,These are some women who can be role models for our young people.,These are some women who can serve as role models for our young people.,Here are some women who can serve as role models for our youth | Here are a few women who can be good examples for our young people,96.82539682539682,True
charlemagne_31_hat_eng,Li te genyen 19 lane.,he quit school due to the death of his father.,He was nineteen years old.,She was 19 years old.,She was 19 years old.,he was 19 years old | he was nineteen,75.55555555555556,False
proverb_192_hat_eng,Sa ou pa konnen pi gran pase ou.,What you do not know is bigger than you.,What you do not know is greater than you.,What you don't know is bigger than you know.,What you do not know is greater than you are.,You don’t know the half of it | There’s more to it than you know,63.63636363636363,False
charlemagne_80_hat_eng,"Soti Wanament, yo kondi Chalmay nan prizon Okap.",We saw him with the head shaved and prison clothes.,"From Wanament, they drove Chalmay to Cap Cap Prison.","From Wanaminthe, they sent Charlemagne to Cap-Haitian prison.","From Wanament, they drove Charlemagne to Cap-Haitian prison.",He was taken to Cap-Haïtien prison | They brought Chalmay from Wanament to jail in Cap-Haïtien,61.36363636363637,False
zile_207_hat_eng,Bonnanj mwen nan sèp,My soul's in a trap,My Bonnanj of Serpent,My bonnanj in the snake,My bonnanj in the snake,I’m in a bind | My soul is trapped,46.15384615384615,False
cuisine_121_hat_eng,"Origine soti nan nò Ayiti,","Originally from northern Haiti,","Originated from northern Haiti,","Originated in the north of Haiti,","Originated from the North of Haiti,",Originally from northern Haiti | Hailing from northern Haiti,88.52459016393442,True
proverb_186_hat_eng,"Rayi chen an, men di dan li blanch.","[You may] hate the dog, but [you must] admit that its teeth are white.","He hates the dog, but his teeth are white.","They hate the dog, but they say his teeth are white.","He hates the dog, but he says his teeth are white.",Give credit where it’s due | Admit when something is good,42.85714285714286,False
fanm_210_hat_eng,Nou rete konsa tout nwit la”.,We stayed like that all night.,We stayed like this all night.,We stayed there all night.,We stayed there all night.,We stayed up all night | We were like that the whole night,76.92307692307692,False
ife_590_hat_eng,Ou gide-m San bousòl,You guide me Without a compass,You guide-me to the Holy Grail,You guide me Without compass,You guide me Without compass,You lead me without direction | You guide me blindly,60.0,False
ife_588_hat_eng,Soul Mwen pa konn Si ou remake sa,Soul I do not know,Soul I don't know if you remake that,Soul I don't know if you can re-imagine this,Soul Je ne sais pas Si tu te rends compte de cela,I don’t know | I’m not sure,66.66666666666667,False
charlemagne_76_hat_eng,"Apre premye jijman li Ench, Chalmay menm,","When it comes to Charlemagne, after the first judgement at « Hinche ».","After his first trial Ench, even Chalmay,",After his first trial                                                             ,"After his first trial in  Hinche ,",After Charlemagne’s first trial in Hinche | Once Charlemagne had his first day in court in Hinche,65.85365853658536,False
ife_371_hat_eng,"Pasaj silans sa a, se nou tou de reyini nan youn sèl mounn ki ap grandi nan jaden linivè.","The soothing silence, like a pathway From which we dream.","Through this silence, we are both united in one single human being growing up in the garden of the universe.","Through this passage of silence, we are two united in one person growing in the garden of the universe.","Through this silent passage, we are united as one human being growing in the garden of the universe.",The quiet passage where we meet as one | A silent path where our dreams grow,47.61904761904761,False
cuisine_55_hat_eng,"Diri Blan, Sòs Pwa, Legim Sans lavi chak jou","2. Diri Blan, Sòs Pwa, Legim The essence of everyday life","White Rice, Beans Sauce, Vegetables Without Daily Living","Diri Blan, Sòs Pwa, Legim Sense of Everyday Life","Diri Blan, Sòs Pwa, Legim Sans quotidien","White rice, bean sauce, and vegetables: the essence of daily life | White rice, bean sauce, and vegetables: everyday life itself",76.0,False
ife_47_hat_eng,Kè-m sere.,My heart is so sad.,Close up.,My heart is closed.,My heart is heavy.,I’m heartbroken | My heart is heavy,33.333333333333336,False
ife_362_hat_eng,"Pandanstan, memwa nou se tanzantan l' al fề pyepoudre pou li reparet ak eteisel verite dantan, ki ap t tate matris lepase ak flanbo souvnans.","Meanwhile, our memories jump on a merrygo-round, and trigger a spark which, from time to time, tickle the wombs of the past with its flames.","At the same time, our memory is constantly being moved to the pineapple to repair and reuse the true pineapple, which is the untreated uterine vesicle and flaps of memory.","At the same time, our memories go from time to time to repair themselves with the true essence of the dantan, which treats the unborn womb with flaps of memories.","In the meantime, our memories go from time to time under the tree of life to reappear with a wave of truth that sweeps the unborn womb with flaps of souvenances.","Meanwhile, our memories keep circling back, sparking old truths from time to time | Meanwhile, our memories spin in cycles, rekindling the past with flashes of truth",48.484848484848484,False
ife_37_hat_eng,bonèt lakansyèl,Made soft by fluffy clouds,Rainbow bonnet,The rainbow bonnet,The rainbow bonnet,softened by clouds | cloud-softened,30.76923076923077,False
fanm_49_hat_eng,Petèt li te gen anvi jwenn yon bèl kolaborasyon avèk etranje yo.,"No doubt, she was impa­tient to find a wonderful collaboration on the part of these strangers.",Perhaps he longed for a pleasant collaboration with the aliens.,Perhaps he longed for a pleasant collaboration with the strangers.,Perhaps he longed for a wonderful collaboration with the foreigners.,She was probably eager to work with the foreigners | She likely wanted to team up with the outsiders,51.72413793103448,False
ife_158_hat_eng,"Oumenm, ou di-m: Pwomès ou ap liminen.",You tiptoe And avoid frightening the doe You said your promises Are like candles of hope,"Oumenm, you say to me: Your promises will be fulfilled.",You say to me: Your promises will illuminate.,You say to me: Your promises will illuminate.,You tiptoe so you won’t scare the doe | You said your promises shine like candles of hope,56.88073394495412,False
zile_136_hat_eng,Je-m pantan,My eyes are startled,Je-m pantan,My eyes are drooping,My eyes lurk,I was startled | I was taken aback,45.45454545454546,False
