id,cr,reference_en,baseline_prediction,cultural_prediction,tri_prediction,expected_translation,cultural_prediction_csi_match_score,cultural_prediction_csi_match_success
ahl_11710_hat_eng,ap rounen rive la,I’m coming back there.,ap rounen rive la,Im coming back there.,going back and forth arriving there,I’ll be back there | I’m coming back over there,80.95238095238095,True
ahl_4253_hat_eng,bon e mwen la dison bagay ki bèl,well and I’m here saying beautiful things,Good and I say the most beautiful things,well and Im here with ten beautiful things,"well, and Im here with ten beautiful things",I’m here saying nice things | I’m here saying beautiful things,75.32467532467533,False
ahl_5683_hat_eng,yo di sa nan sònman?,Did they say that in the sermon?,Do they say that in a bidding war?,Did they say that in the morning?,did they say that in the dream?,Did they say that in church? | Was that said in the sermon?,79.3103448275862,False
ahl_1117_hat_eng,m ap konn men kiyè yon konn di a,"I know the saying that says, “the hand knows the spoon.”",I'm going to tell you the level of a connoisseurs connoisseur,I know how to say it.,I know how to say it.,I know the saying “familiarity breeds skill” | I know the saying “practice makes perfect”,72.22222222222221,False
ahl_11190_hat_eng,men li pi nwa,but it is darker,but it's darker,but it is darker,but it is darker,but it’s even darker | but it’s much darker,69.23076923076923,False
ahl_9905_hat_eng,li gwo baga l ap fè li,he is doing it with his big thing,It's a big deal he's doing it,He has a lot of things hes doing.,He has a lot of things hes doing.,he’s showing off his manhood | he’s using his big dick,54.54545454545454,False
ahl_11530_hat_eng,akòde pase pa m nan,grant me passage,Granted by the Ms,give me my pass,let me pass by myself,let me through | give me passage,80.0,True
ahl_11201_hat_eng,li gen yon gwo tach jòn sou devan chak jen yo,it has a big yellow spot on the front of each knee,There is a large yellow spot on the front of each genus,it has a large yellow spot on the front of each young one,it has a large yellow spot on the front of each bundle,it has a big yellow patch on the front of each knee | it has large yellow spots on the front of both knees,82.56880733944953,True
ahl_5486_hat_eng,Mwen menm rekondi,I myself am grateful,I am recording,I myself recalled.,I myself recall,I’m grateful | I’m thankful,44.44444444444444,False
zile_23_hat_eng,« Ak pasyans n'ajwenn tete founi »,« With patience we'll find the nipple of the ant», With patience you will find nourishment ," With patience, we obtain nourishing breasts "," With patience, we obtain nourishing breasts ",Patience pays off | Good things come to those who wait,49.382716049382715,False
ahl_5727_hat_eng,m batò fin konprann li,I finally understood it.,I tried to understand it,I almost understood it.,I finally understood it.,I finally got it | I finally understood it,79.06976744186046,False
ahl_13136_hat_eng,"Kiyen konn elè y ap fè tjanbe anbòt, kiyen konn fè yon konbi?","Who knows how to make a tjanbe anbòt, who knows how to make a combi?","Who knows how to make a jumbo, who knows how to make a combi?","Who knows when theyre making a fight, who knows how to make a fight?","Who knows when theyre making a fight, who knows how to make a fight?","Who knows how to pull off a tjanbe anbòt, who knows how to pull off a combi? | Who can make a tjanbe anbòt, who can make a combi?",59.84251968503938,False
ahl_6555_hat_eng,reye yon men.,raise a hand,cure a man.,rub a hand.,rub a hand.,put up your hand | raise your hand,70.58823529411764,False
ahl_6597_hat_eng,li pa gen dòt moun ankon,he doesn’t have any other people either,He doesn't have a clue,he doesnt have anyone else anymore,he doesnt have any others anymore,he has nobody else either | he doesn’t have anyone else either,82.35294117647058,True
ahl_15870_hat_eng,ou ka di sa wii,you can say that yes,You can say that wi-fi,you can say that wii,you can say that wii,absolutely | you can say that,88.88888888888889,True
ahl_5608_hat_eng,ou kwè pa gen dwe tou yon lòd,you think there shouldn’t also be an order,Do you believe there must also be an order,Do you believe there must not be an order too?,Do you believe there should not be an order too?,you think there shouldn’t be one too | you think there shouldn’t also be an order,65.21739130434783,False
ahl_5069_hat_eng,ou ka di konsa eee tonk si te w m chachan lòt bagay pou m dou sa,you can say like eee so if it were me I would look for something else to give me that,Or you might say that if only you had something else to do with it,you can say like that um so if you were to ask me something else for me to do that,"you could say like that um, so if you were to ask me something else for me, that would be sweet","you could say that, yeah, but if it were me I’d look for something else | you can put it that way, but if it were me I’d find another way to get that",60.49382716049383,False
ahl_5478_hat_eng,nan OU pa konn ap fè peristil la nou?,"You don’t know how to do the peristil, do you?",ARE YOU DOING THE NEW PERISTILE?,Dont you know how to make the peristyle there?,Dont you know how to do the peristyle here?,"You don’t know how to do the peristil, do you? | You don’t know how to perform the peristil, do you?",70.58823529411764,False
ahl_841_hat_eng,se pa denmen maten paske se pa vandredi,It’s not tomorrow morning because it’s not Friday.,It's not tomorrow morning because it's not Friday,Its not tomorrow morning because its not Friday,Its not tomorrow morning because its not Friday.,Not anytime soon | Not in the near future,46.57534246575342,False
ahl_9808_hat_eng,yo pa konn di wafou l ap fè sèks ou piyòl nan.,They don’t usually say that he’s having sex or fooling around.,I don't know why I'm having sex with them or having sex with them.,"They dont know how to say if hes having sex with you, or if hes having sex with you.",They dont know how to say if hes having sex with you.,They don’t usually say he’s having sex or fooling around | People don’t usually say he’s messing around or having sex,57.971014492753625,False
ahl_9777_hat_eng,pi jan rele ti moun sa.,what is that child’s name,How to call that little person.,what is this child called?,what is the name of that child.,What’s that kid’s name? | What’s that child called?,86.27450980392157,True
ahl_3621_hat_eng,gen tout kalte genyen,there are all kinds of things,There are all kinds of win,there are all kinds of them,there are all kinds of them,there are all sorts of things | all kinds of things are there,80.76923076923077,True
ahl_6739_hat_eng,nan dok yo,in the documents,in the docks,in their docks,in their docks,in the paperwork | in the files,66.66666666666667,False
ahl_14249_hat_eng,Seke se yon ekip lòm tout sa menn,"It’s like a whole team of men, that’s all.",Seke se yon ekip gason tout sa gentlemen,"Seke is a team of men, all of them.","Seke is a team of men, all of them.",It’s like a whole bunch of guys | It’s basically an all-male crew,42.85714285714286,False
expression_51_hat_eng,Veye zo ou,be careful or watch your back,Watch over your zo,Watch over your bones,Watch over your bones,watch your back | be careful,72.72727272727273,False
ahl_15781_hat_eng,bon si pa ekzanp te gen yon moun e li Ki pral lou kote avèk ou,well if for example there was someone and he is going to move in with you,Kindly if for example there was someone and he/she is going to be in a tight place with you,well if for example there was someone and he who is going to be with you to a heavy place,well if for example there was someone and he who will be with you to a heavy place,"for example, if someone were to move in with you | say, if someone was going to live with you",57.931034482758626,False
ahl_7877_hat_eng,tankou ta rache,as if it were torn off,Like ta hache,like it would tear out,like tearing it out,as if ripped off | like it had been torn away,59.09090909090908,False
ahl_14507_hat_eng,swazo sa a nou konnen li.,We know this bird.,That's the way we know it.,This bird we know.,This bird we know.,We know this one | We know what this is,72.22222222222221,False
ahl_7728_hat_eng,li rive pi devan li di tou,he got there ahead and said it too,He comes forward saying too,"He came much farther ahead, he said too","He came farther ahead, he said too",he got there first and said it too | he beat him to it,57.53424657534247,False
ahl_5959_hat_eng,apwè ou menm ki yon mete l nan kivèt la,after you are the one who put it in the tub,after you have put it in the sink,after you put it in the basin,after you put it in the basin,after you’re the one who put it there | after you’re the one who put it in there,68.0,False
ahl_4617_hat_eng,te rele sa,was called that,You called it ,was called that,was called that,was called that | was known as that,100.0,True
ahl_12542_hat_eng,bèt yo konn genyen,animals often have,The animals often have,the animals usually have,The animals usually have,animals usually have | animals tend to have,90.9090909090909,True
proverb_83_hat_eng,"Grangou se mizè, vant plen se traka.",Hunger is misery; a full stomach is worriness.,"Hungry is misery, full stomach is hassle.","Hunger is misery, a stomach is misery.","Hunger is misery, fullness of stomach is treachery.","Hunger is misery; a full belly brings trouble | Hunger hurts, but overeating causes problems",65.51724137931035,False
ahl_4021_hat_eng,pa gen lòdi an ankò,there is no order yet,Dont have to worry about it anymore,there is no order yet,there is no order yet,not yet organized | things are still in disarray,48.78048780487805,False
ahl_10024_hat_eng,li jan rene yon moun ganseride moun sòt,he is like a person who is a fool and an idiot,It's like being a ganseride asshole,He is like someone who thinks silly of people.,Hes like someone who thinks hes a fool.,he’s a complete fool | he’s an idiot,47.05882352941176,False
ahl_15708_hat_eng,toutou li va rive isit e byen ta,he will arrive here very late,But it will happen here and theres no doubt about it.,But he will arrive here very late,But he will arrive here very late.,he’ll get here really late | he’s going to be very late,64.40677966101696,False
ahl_14504_hat_eng,swazo a rele swazo kànn,the bird is called a hawk,The swazo is called swazo kànn,The bird is called the cane bird,The bird is called the cane bird.,like calls to like | birds of a feather,52.63157894736843,False
ahl_10648_hat_eng,pou met ou barè plak ladan pou w fè bay zòdi,to put a plate barrier in there for you to cast a spell,to put your plate barrier in it to give you the spider,to put your plate barrier in it so you can give the needle,to put your plate barrier in it so you can give the needle,to put a protective plate there to work magic | to set up a plate barrier there to cast a spell,59.04761904761905,False
ahl_16249_hat_eng,pa avan ou gen li toujou rive,it always happens before you have it,Before or after it always happens,"not before you have it, it always arrives","not before you have it, it always arrives",it always happens before you get it | it always comes before you have it,73.17073170731707,False
ahl_3830_hat_eng,wap di l pran sa a?,Are you saying he should take this?,How do I take this?,Are you telling him to take this?,Are you telling him to take this?,You mean he should take this? | So you’re saying he should take this?,69.84126984126983,False
ahl_3303_hat_eng,ou ka di,you can say,You can say ,you can say,you can say,you could say | you might say,63.63636363636363,False
ahl_3161_hat_eng,moun yo fe ti moun nan ok,the people made the child okay,The little man is ok ,the people made the child okay,the people made the child okay,the child is fine | they took care of the child,63.1578947368421,False
fanm_336_hat_eng,"Men, jwè U-20 yo ki sòti Ayiti te ba yo yon bon leson Vandredi 26 Janvye 2018 la.","But, the U-20 players of Haiti gave them a great resistance on Friday January 26, 2018.","But the U-20 players from Haiti gave them a good lesson on Friday, January 26, 2018.","But the U-20 players from Haiti gave them a good lesson on Friday, January 26, 2018.","But the U-20 players from Haiti gave them a good lesson on Friday, January 26, 2018.","But the Haitian U-20 team gave them a tough challenge on Friday, January 26, 2018. | But Haiti’s U-20 players put up a strong fight on Friday, January 26, 2018.",74.69879518072288,False
ahl_7339_hat_eng,K ap achte pil gal tou e,Buying a lot of gallons too,Buying batteries gal tou e,Buying a lot of liquor too,Im buying a lot of things too.,buying gallons in bulk | stocking up on gallons,59.09090909090908,False
ahl_6262_hat_eng,ou pa konnen,you don't know,Do you know or do not know ,you don't know,you don't know,you have no idea | you don’t know anything,92.85714285714286,True
ahl_9774_hat_eng,pitit la fè,the child does it,the fruit of iron,the child did,the child did,the child does it | the kid does it,91.66666666666666,True
ahl_2089_hat_eng,donk se lati,so it’s the side,Dont be late,so its lateral,so its the left side,so it’s the side | that’s the side,72.0,False
ahl_3636_hat_eng,ki yon ta ka regè l?,what could one do about it?,Who would resign him?,What could one ignore him?,who could ignore him?,what can you do about it? | what’s there to do?,58.82352941176471,False
ahl_15721_hat_eng,ou pa jan m granm pil kòb pou peye l,you never have a lot of money to pay it,How do I raise enough money to pay for it?,You dont know how much money I have to pay for it.,You dont know how much money I have to pay for it,you never have enough money to pay for it | you’re always short on money to pay it,65.93406593406593,False
ahl_13704_hat_eng,ak tou prè ta fè pitit,and almost ready to give birth,and soon she would bear children,and almost would have given birth,and almost would have children,about to give birth | nearly ready to have the baby,61.53846153846154,False
ife_385_hat_eng,ou ta di yo pran pli satiyèt pou lage mwen toutouni ak ri.,Sometimes they seem to take a ticklish pleasure in exposing me naked.,You would have told them to take longer hours to release me naked and laughing.,you would tell them to take longer to let me be naked and laugh.,You would say they took a few hours to let me be naked and laugh.,they seem to enjoy humiliating me | they take pleasure in exposing me,48.275862068965516,False
ahl_14945_hat_eng,Tou wè on nèg mennen on kote,You see a man leading somewhere,See you guys take you somewhere,You see a guy take you somewhere,You see a guy take you somewhere,You can see a man being led somewhere | You see someone being taken somewhere,67.74193548387098,False
ahl_16682_hat_eng,li lave men li,he washed his hands,He washes his hands,He washed his hands,He washed his hands,he washed his hands | he washed his hands of it,100.0,True
ahl_3002_hat_eng,gen de moun ki konn ale,there are two people who usually go,Gen of people who know how to go,there are two people who know how to go,there are two people who usually go,there are two regulars|two people usually go,57.971014492753625,False
ahl_12508_hat_eng,Laj pou l ap chante.,Age for him to be singing.,Old enough to sing.,Age to sing.,Age to sing.,He’s old enough to sing | He’s at the age to be singing,75.0,False
ahl_2202_hat_eng,donk ou ka di yo,so you can tell them,Dont you dare to tell them,so you can tell them,so you can tell them,so you can tell them | then you can let them know,100.0,True
ahl_7506_hat_eng,koupe l la pa koupe l la,"cut it there, don’t cut it there",The cut does not cut the cut,"cut it there, dont cut it there","cut it, dont cut it, cut it",leave it as is | don’t touch it,50.98039215686274,False
ahl_27_hat_eng,ou pa konn kijan yo rele yo,you don’t know what they’re called,You dont know how to call them,you dont know what theyre called,you dont know what theyre called,you don’t know their names | you don’t know what they’re called,93.75,True
ahl_7160_hat_eng,yo konn ba l kèk non kòm sison m,They sometimes call him a sucker.,They used to give him some names as his name.,they used to give him some names as my sixth one,they used to give him some names as my last name,They sometimes call him a sucker | People sometimes call him a sucker,49.43820224719101,False
ahl_4115_hat_eng,ou gen moun se rite moun lòp palavè yo selon sòdi la,you have people who are used to talking a lot according to the situation,There are people who are ashamed of their fever depending on the sodium,"you have people, its like people are too talkative, according to the order","you have people, its like people are talking too much, according to the order",some people just talk a lot depending on the situation | some people are naturally very talkative depending on the circumstances,56.75675675675676,False
ahl_7886_hat_eng,sa l tèt,what’s up,That's right ,whats on his head,whats going on in his head,what’s up | how’s it going,60.0,False
ahl_2441_hat_eng,yo rele bwa sa Zalin,They call this tree Zalin.,They call it Zalin,they call that wood Zalin,they call that wood Zalin,This tree is called Zalin | They call this tree Zalin,76.0,False
ahl_7654_hat_eng,ebenfwa pou bay malis,perhaps to give malice,Even if it's meant to be malfunctioning,sometimes to give malice,sometimes to give malice,maybe to be spiteful | perhaps out of malice,61.53846153846154,False
ahl_15115_hat_eng,m foure l nan lanmè a pou ka wè prasiyon bagay.,I put it in the sea to see what kind of thing it is.,I put it in the ocean to see the rapture of things.,I put it in the sea so that it can see the details of things.,I put it in the sea so he can see the details of things.,I tossed it in the sea to see what it was | I put it to the test to see what kind of thing it is,65.48672566371681,False
fanm_76_hat_eng,li te batay ak sòlda franse yo ki te oblije fizye l.,"Wanted for decapitation as it was done for thieves and other criminals, she fought with the French soldiers, who in turn had to shoot her.",He fought against the French soldiers who had to pay him back.,He fought against the French soldiers who had to force him.,"She fought with the French soldiers, who forced her to flee.","She fought the French soldiers, who had to shoot her | She resisted the French troops and was shot dead",80.76923076923077,True
ahl_5949_hat_eng,doksan pa tou bwoblè,ninety is not all trouble,Doxanne doesn't talk too much,Dozen or so is not all its cracked up to be.,Dozen or so are not all troublesome.,not everything is a problem | there’s no need to make a fuss,42.85714285714286,False
ahl_9952_hat_eng,konn se y di ti moun Kòn di,I know it’s said that the child says it.,Konn se di ti moun Konn di,sometimes they say children know what they say,sometimes they say children know what they say,Kids say the darndest things | Out of the mouths of babes,45.652173913043484,False
ahl_9873_hat_eng,pou wè l fè konsa an konsa.,to see him do it like that in that way.,to see it done so in such a way.,to see him do it like that and like that.,to see him do it like that and like that.,to see him do that | to watch him do it that way,67.64705882352942,False
ahl_4734_hat_eng,m pa pè pou li li konn fè kisa,I’m not afraid for him; he knows what to do.,I'm not afraid of what it does,Im not afraid of what he knows how to do.,Im not afraid of what he knows how to do.,I’m not worried about him; he knows what he’s doing. | I’m not afraid for him; he can handle it.,65.85365853658536,False
ahl_7512_hat_eng,lè l rive,when he arrives,When I get there,when he arrives,when he arrives,when he gets there | upon his arrival,74.07407407407408,False
ife_382_hat_eng,Mwen rekòmanse ekri lèt sa a twa fwa deja.,This is my third attempt at writing ths letter.,I have begun to rewrite this letter three times already.,I have already started writing this letter three times.,I have already started writing this letter three times.,This is my third try at writing this letter. | I’ve already tried three times to write this letter.,63.63636363636363,False
ahl_12513_hat_eng,"Wi, lò lò l lò li ap ekouve a, w mete li fè ti kay pou li, sa rele kalò.","Yes, when it is hatching, you put it in a little house for it; that is called a brooder.","Yes, it's going to be a gold rush, and you put it in a small building for it, it's called a hole.","Yes, when its time for him to explore, you make him build a little house for him, thats called a calabash.","Yes, when its time for him to explore, you make him build a little house for him, thats called a calabash.","Yes, when it’s hatching, you put it in a little brooder for it | Yes, during hatching, you keep it in a brooder",56.38297872340425,False
fanm_282_hat_eng,"Men, 2 fevriye 2013 la, Malala ofri nou yon bèl mesaj nou ta dwe kenbe nan fon kè nou pou lavidiran.","However, on the same day, Malala gave us a wonderful message that we should keep in our hearts forever.","But on February 2, 2013, Malala offered us a beautiful message that we should keep in our hearts for the lavidiran.","But on February 2, 2013, Malala offered us a beautiful message that should be deeply embedded in our hearts for the future.","But on February 2, 2013, Malala offered us a beautiful message that we should cherish in our hearts for the future.","However, on that same day, Malala gave us a beautiful message to keep in our hearts forever. | But on February 2, 2013, Malala shared a wonderful message we should always hold close to our hearts.",68.75,False
ahl_2801_hat_eng,ouvi ki jan bay pou l la lagate a rele,I heard how the one who was supposed to give it was called Lagate.,I heard how bay for la lagate a relay,I heard what its called to give it to the lady.,Listen to what its called for the gate to be opened.,I heard the person who was supposed to give it was called Lagate | I heard the one meant to hand it over was named Lagate,57.446808510638306,False
ahl_14522_hat_eng,se sa w konn tande,that’s what you usually hear,That's what you've heard,thats what you usually hear,thats what you usually hear,that’s what you usually hear | that’s the kind of thing you hear all the time,96.2962962962963,True
ahl_14111_hat_eng,pou wè rè,to see again,See you there,to see the rear,to see the rear,to see again | see you again,69.56521739130434,False
ahl_1412_hat_eng,men yo konn di se se tèl bagay moun Okap se Moun Okap konn ti pran l Yo pran li pran rai,"but they say that such and such thing, people from Cap-Haïtien, people from Cap-Haïtien know how to take it. They took it, took it away.","But they say it's such a people thing, people know it, people know it, they know it, they know it, they know it, they know it, they know it, they know it, they know it, they know it, they know it, they know it, they know it, they know it, they know it, they know it, they know it, they know it, they know it, they know it, they know it, they know it, they know it, they know it",but they say its such a thing people in Cap-Haïtien are people in Cap-Haïtien who know how to take it They take it and take it by force,"but they say its such a thing that people in Cap-Haïtien know how to take it, they take it, they take it, they take it",they know how to handle it | they took it and ran with it,71.9298245614035,False
ahl_10153_hat_eng,nou kwèk benè gen tou,we believe there is also luck,We have some blessings too,we believe there are also blessings,we think there are some bad things too,we think there’s also luck | we believe luck is involved,58.62068965517242,False
ahl_4984_hat_eng,yo moun ki mouri,they are dead people,are the dead,they are people who are dead,they are people who died,the dead | dead people,70.27027027027026,False
ahl_14509_hat_eng,wè menm lavil li viv,see the same city he lives in,the same city he lives in,see the same city he lives in,see the same city he lives in,see his hometown | see the city where he lives,75.0,False
ahl_5555_hat_eng,kayen tèl ou byen,"I’m fine, and you?",Cainan as you well,such a thing or something,such a house or something,"I’m fine, and you? | I’m doing well, and you?",40.0,False
ahl_14672_hat_eng,moun yo konn rete yo di ti moun yo konsa bon,People who know how to stay say children are so good,People often say they are such good people,people usually stay and tell the children thats how good it is,"people usually stay, they say the children are so good",People who know better say kids are so good | Folks who know how to behave say children are such a blessing,51.85185185185186,False
ahl_15679_hat_eng,sa pa kinal,it doesn’t matter,This is not kinal,thats not normal,thats not normal,it doesn’t matter | no big deal,48.275862068965516,False
ahl_5526_hat_eng,yon jan manje,some food,a way to eat,a kind of food,a kind of food,a bit of food | some food,81.4814814814815,True
ahl_1585_hat_eng,ouk wè se dirèk kiloz,you see it’s directly kilos,See if it's direct kiloase,and you see its direct kiloz,and you see its direct kiloz,you can see it’s straight kilos | it’s clearly kilos,64.28571428571428,False
ahl_11875_hat_eng,epi ou kapab di li meton chapon nou an woukò,and you can tell him to put our rooster in the coop,you can tell it meton our hat in woukò and,and you can tell him to put our hat on woukò,and you can tell him to put our hat on woukò,tell him to go to hell | tell him to get lost,54.83870967741935,False
ahl_4097_hat_eng,wa foun lòt anpò,you will find another way,wa foun other ports,you will need another one too,you will need another one too,you’ll find another way | there’s always another way,69.38775510204081,False
ahl_9314_hat_eng,tou fè l fè tlava l anven,make him do his work in vain,I also make it into a bathtub,make him do his thing again,also make him do his little trick,waste his effort | make his work pointless,48.0,False
ahl_7355_hat_eng,ti espèyè a ti mwen an,my little mirror,I've seen you around lately.,My little hope,Behind my little spoon,my little mirror | my tiny mirror,83.33333333333334,True
ahl_1348_hat_eng,fè konsa m ap di sa wap di,do that and I’ll say what you’re saying,so I'll say what you said,"do it like that, Im telling you what youre saying",so Ill say what youre saying,Do that and I’ll back you up | Do that and I’ll say the same thing,52.38095238095239,False
ahl_5539_hat_eng,moun sa a gen,this person has,This is a gen of people,This person has,This person has,this person has | this one has,100.0,True
proverb_114_hat_eng,"Lè pyebwa jwe ak van, li pèdi fèy li.","When the tree plays with the wind, it loses its leaves.","When a tree plays with wind, it loses its leaves.","When a tree is blown by the wind, it loses its leaves.","When a tree is blown by the wind, it loses its leaves.","If you play with danger, you’ll get hurt | Fooling around with trouble leads to loss",44.44444444444444,False
ahl_13577_hat_eng,depi m fini,since I finished,Since I'm done,since I finished,since I finished,once I was done | after I finished,82.75862068965517,True
ahl_3325_hat_eng,donk sa w ap di,So what are you saying?,So what are you saying?,so what are you saying,so what are you saying,So what are you saying? | What are you trying to say?,100.0,True
ahl_13656_hat_eng,ap wap cap ap mete kote mal,you will be putting it in the wrong place,ap wap cap will be placed in the wrong place,youre going to put it in the wrong place,youre going to put it in the wrong place,you’ll put it in the wrong spot | you’re going to place it in the wrong place,88.60759493670886,True
ahl_16646_hat_eng,non sa nan sòt di a,I don’t know that kind of thing.,The name of this sort of a,"No, thats the kind of thing.",Thats the kind of thing Im saying.,I don’t know about that | I’m not familiar with that,46.42857142857143,False
fanm_58_hat_eng,Se konsa li te pran desizyon pou l ale vire lòlòj sòlda franse yo pou li vòlè minisyon yo pou pote bay lame endijèn nan.,She took it upon herself to woo the French sol­diers in order to steal ammunition that the native army badly needed.,So he decided to turn the clock on French soldiers and steal the ammunition to bring to the indigenous army.,So he decided to turn the clock on the French soldiers to steal their ammunition to bring to the local army.,So he decided to turn the clock on the French soldiers to steal the ammunition to carry to the indigenous army.,She decided to charm the French soldiers so she could steal their ammunition for the native army | She set out to seduce the French soldiers and take their ammunition for the native troops,73.52941176470588,False
ahl_7216_hat_eng,"Yo yo te drevandèl, anna a, yo jen drevandèl.","They were all drevandèl, Anna, they were just drevandèl.","They were Drevandel, Anna's, and June Drevandel.","They were drevendèl, the year before, they were drevendèl.","They were drevandèl, and then they were drevandèl.","They were all messed up, Anna, they were just messed up. | They were all out of it, Anna, they were just out of it.",56.56565656565656,False
ahl_13647_hat_eng,elè sa w ap ponnen yo plenn moun y ala w ap veye l,when you’re fucking them they complain people are there and you’re watching them,This is what you're doing to plain people and keep an eye on it.,"when what youre putting on people, theyre complaining, and while youre watching over them","when what youre putting on people, theyre complaining, and while youre watching over them",when you’re having sex they complain about people being around and you’re watching them | they’re complaining that people are there while you’re fucking them and keeping an eye on them,65.90909090909092,False
zile_186_hat_eng,youn bél karako lalin de boul je,a robe of moonlight two round eyes a pair of golden wings,One beautiful carako moon of eyeballs,a beautiful moon with two balls of eyes,a beautiful moon with two balls of eyes,a radiant figure with luminous eyes and golden wings | a beautiful moonlit being with bright round eyes and golden wings,61.53846153846154,False
charlemagne_37_hat_eng,"Monte chwal,","Horse rides,","Mounted Horse,",Ride a horse,"Ride on horseback,",Get on the horse | Ride the horse,75.0,False
ahl_12830_hat_eng,yo mete rad sou yo,they put clothes on themselves,they put on their clothes,they put on clothes,they put clothes on them,they got dressed | they put on clothes,100.0,True
ahl_8876_hat_eng,sa kounm di ki sa w tap di Wouwou,So what were you saying to Wouwou?,Do not tell me why I say Wouwou,"what were you saying, Wouwou","what did you say, what were you saying to Wouwou","What were you telling Wouwou? | So, what were you saying to Wouwou?",89.28571428571429,True
ahl_14729_hat_eng,"Koulè Boutou sa a, Boutou sa Wouj, Gade byen pou wè, nan nwit la se wè wè wè rèbyen.","The color of this Boutou, this Boutou is red, look closely to see, in the night it is very, very, very visible.","Color of this Button, Red Button, Look good to see, in the night it is seen with the naked eye.","The color of this bottle, this red bottle, Look carefully to see, at night it is to see, to see, to see, to see, to see.","The color of this Boutou, this Red Boutou, Look carefully to see, at night it is to see, to see, to see, to see.","That Boutou is bright red and easy to spot, even at night | This Boutou is vividly red and stands out clearly in the dark",49.77777777777778,False
ahl_15205_hat_eng,alò swa y ap vin avè li,So either they will come with him.,then either and will come with it,so tonight they will come with him,so tonight they will come with him,So either they’ll come with him | Then they’ll come with him,80.0,True
ahl_12165_hat_eng,y al wouze jaden,they go water the garden,and the red field,they go to the garden,they go to the garden,they go tend the garden | they go water the plants,85.71428571428572,True
fanm_265_hat_eng,Fabyèn se youn nan yo:,Fabienne is one of them:,Fabyèn is one of them:,Fabienne is one of them:,Fabienne is one of them:,Fabienne is one of them | Fabienne is among them,97.87234042553192,True
ahl_16692_hat_eng,"nou, kò moutè di m pou p ap vini, m pa vini.","we, because the driver told me not to come, I didn’t come.","Well, I'm not coming, I'm not coming.","Now, the mayor told me not to come, so I didnt come.","Now, the mayor told me not to come, I didnt come.","I didn’t come because the driver told me not to | Since the driver told me not to come, I stayed away",65.34653465346535,False
ahl_5111_hat_eng,bon sòdi yo fè la yo,the good deals they made there,Good luck doing the math,the good stuff they made there,the good stuff they made there,the good deals they made there | the great bargains they got there,86.66666666666667,True
ahl_16398_hat_eng,m bak an fè travay sa,I’m not going to do that work.,I'm back to make this work,Im not going to do this work.,Im not going to do this work.,I’m not doing that job | I’m not going to do that work,89.65517241379311,True
ahl_7065_hat_eng,papa ap manje,Dad is eating,Papa ap manje,Dad is eating,Dad is eating,Dad’s eating | Dad is having a meal,88.0,True
fanm_162_hat_eng,"Paske li pa te kapab fè pitit, li te vini Ayiti pou adopte yon ti fi :","Because she could not have children, she came to Haiti to adopt a daughter:","Because she could not bear children, she came to Haiti to adopt a girl :","Because she could not have children, she came to Haiti to adopt a girl.","Because she could not have children, she came to Haiti to adopt a girl.","Because she couldn’t have children, she came to Haiti to adopt a daughter | Unable to have children, she came to Haiti to adopt a little girl",94.11764705882352,True
ahl_9797_hat_eng,mwen m sout gen rad,I still have clothes,I'm wearing a dress,I just have clothes,I just have clothes,I still have clothes | I’ve still got clothes,84.21052631578947,True
ahl_6326_hat_eng,men men genyen,but there is indeed,men win,but here it is,but here it is,"but there really is | but yes, there is",75.0,False
charlemagne_41_hat_eng,Li te fè yon kout kòm premye majistra nan lameri.,which one day become the mayor of « Hinche » used to do to entertaine himself.,He briefly served as the first mayor of Lamar.,He had a short stint as first mayor of Lamarie.,He briefly served as first mayor of Lamarie.,who later became mayor of the town | who once served as the town’s mayor,46.37681159420289,False
ahl_3971_hat_eng,ee fè sa.,do that.,God bless you.,uh do that.,uh do that.,do it | make it happen,50.0,False
cuisine_147_hat_eng,"jeneralman konpoze de griot (vyann kochon fri),","usually composed of fried pork,","Generally consisted of griot (sliced pork),","usually consisted of griot (fried pork),","usually consist of griot ( fried pork),",typically made with fried pork | commonly includes fried pork,57.14285714285714,False
ahl_4711_hat_eng,"non, pa ba l kouv.","No, don’t cover it.","No, its not covers.","No, dont cover it.","No, dont give him a cover.","No, leave it uncovered | No, don’t put anything over it",64.28571428571428,False
fanm_248_hat_eng,"lòd, disiplin, òganize èd, mete solidarite ant moun yo.","order, discipline, organization of aid, solidarity between all the refugees.","Order, discipline, organize help, put solidarity between people.","Order, discipline, organize help, show solidarity among people.","Order, discipline, organize aid, put solidarity among people.","order, discipline, organized aid, solidarity among everyone | order, discipline, coordinated assistance, unity among the people",83.76068376068376,True
ahl_2956_hat_eng,ekou w di,as you say,ekou w di,as you said,as you said,as you say | if you say so,90.0,True
ahl_13736_hat_eng,moun La moutou moun Jeval,"people from La Moutou, people from Jeval",La moutou moun Jeval moun,people of La Moutou people of Jeval,people of La moutou people of Jeval,locals from La Moutou | locals from Jeval,65.71428571428571,False
