id	label	cr	en
9084	bad	ou pa fè tè l bagay konsa nou	you don't do things like that to him
9085	good	moun sa riskan an	that person is risky
9086	good	sa l pral riskan la	what is he going to risk there
9087	bad	li riskan vil li sa l fè l fè	it’s risky what he does to him to do it
9088	good	donk yo gen dwan di	so they have to say
9089	bad	pa fè ba eko sa?	Don’t make that echo?
9090	good	pa fè sa	don’t do that
9091	bad	men si sòso di m lan la	but if my sister is there
9092	bad	ou di m la pris kantèl bagar yo kèndo a di l pa.	you told me the pris kantèl bagar yo kèndo said it was not there.
9093	bad	Pa bye pòt akò, pa gen pwoblèm.	Don’t close the door, okay, no problem.
9094	good	Nan nonm ki fè, ey!	In the name of the man who made it, hey!
9095	bad	Salfè la, moun sa Estèli, mba fò yon, moun sa fwonbri, li fwonbri, bon sa yo di la l fè la, la, ey!	That thing there, that person Estèli, I’m going to make one, that person is a thief, he is a thief, what they’re saying there he did there, there, hey!
9096	bad	Vini m pa l yo salfè, an, li fwon eskandal, se pa eskandal, ey!	Come, my people, they’re dirty, huh, it’s a scandal, it’s not a scandal, hey!
9097	bad	Vini m pa l li yo	Come, mine, theirs.
9098	bad	li Si l pale fò fò fò l ap	if he speaks very very loudly he will
9099	medium	tiprè m ap pale fò avèk ou la	I’m speaking loudly with you here.
9100	bad	vye w ap pale en pi m de a	old man, you’re talking to me about it more than that
9101	bad	ou sonnonm ki ban m pap	you are the man who gave me paper
9102	bad	bèsan m ap fè la m ap	I’m doing what I’m doing there, I’m…
9103	bad	m ap tè l bagay souvou m ap	I’m going to do things on it whenever I’m going to.
9104	bad	ou gen dwan di monchè pa	you have to say man no
9105	bad	se konn a sèl monka di l	it’s only Monka who knows how to tell him
9106	medium	pa redi sou mwen e okap di monchè ou pale twò fò	Don’t be hard on me, and in Cap-Haïtien say, my dear, you speak too loudly.
9107	bad	pale twò fò dapò	speaking too loudly according to
9108	good	pale twò fò	speak too loudly
9109	medium	pou ak konn ni rele tou	to know how to call too
9110	bad	pou ak konn di pa ou rele twò	to and know how to say don’t call too much
9111	good	pa rele konsa	don’t call like that
9112	bad	bouri konn konn tou Mwen konn bagay li fè ou pa kond li moun nan pa	Bouri knows how to know too. I know the things he did to you; don’t drive him, the person is not.
9113	good	pa kond li	don’t drive it
9114	good	pa Sòm moun Moukiyè	not the psalm of the people of Moukiyè
9115	bad	moun moutipesyon konn tou sa k ap pase	people with high blood pressure know everything that is going on
9116	good	moun sa sòm moun Moukiyè ki pa fouyè	that person is some kind of person who doesn’t pry
9117	good	li pa fouyè	he is not nosy
9118	bad	sa konn de lòd dis ankò	that knows two more orders of ten
9119	bad	bon nonm ba egizanp	good man for example
9120	bad	bon nou ta pran moun menm kanpo.	Well, we would take people even if they were standing still.
9121	bad	ou genmenaj ou depi	you have your partner since
9122	medium	depi ou fè sa wò wòp mache men on nonm baka menm gade l menm	since you do that, it’s too much, but a man wouldn’t even look at it
9123	bad	ou move sou wè l ap pala a moun men mwa rale fè zèri kijalou	you’re upset to see him talking to people but I pull my ear how are you
9124	good	jen sa kijalou	what’s up, how are you
9125	bad	lankou san nèg ki kijalou	like a man who is calm
9126	bad	on nonm pa isanpil la l ap redan nan mou yo ou	a man is not very much there he is already in the mou you
9127	good	ou pa bagay	you are nothing
9128	good	ou di konsa bon si l pa rete tankil	you said that, well, if he doesn’t stay, so be it
9129	bad	m ap tè l bagay avèk li	I’m going to do the thing with him.
9130	bad	gade sou pa rete tankil	look around don’t stay tankil
9131	medium	sou pa rete tankil	if you don’t stay still
9132	bad	ou pa t ap li di	you were not reading it there
9133	bad	sòta di sou pa rete tankil	from saying about not staying tankil
9134	bad	M ap goumen avèn pou tankè ou gen dwa se pa goum mon gouman avèk plis	I am fighting with you because you may have the right, it’s not a fight, I’m fighting with more.
9135	bad	listrè m tandi ka m ap peton gabouya avè koula	I heard my teacher that I was going to be fooling around with Koula.
9136	bad	m ap peton gabouya avè On nonm	I’m going to fart with a man
9137	bad	lè lwon nonm gwon bagay	when around a man, big thing
9138	medium	kòm si l ta di tou fè se li pou te genyen any	as if he were saying that it was him who should have had any
9139	bad	l li sa pa fè l plèz li tout bagay sa yo.	He doesn’t like all these things.
9140	bad	Li pa renmen wè moun genyen l table se lit pou genyen an, epi sa fè l fache tout bay sa a ve se yon.	He does not like to see people have it; the table is the one to win, and that makes him angry, all this giving is one.
9141	bad	lèpli souvan malfetè yo moun konnen se yon gran ki ap fè moun malfetè Yo pa fè l ren	Most often, people know that wrongdoers are adults who are doing wrong to people. They don’t make it rain.
9142	bad	ou kad yon nonm ki renmen a fè moun ki wè yon moun gonba a li toufe l twa t li gen son Malfetè yo.	you are like a man who loves to make people who see a person stumble choke him three times he has the sound of the Malfetè people
9143	bad	te bèt la l al fè m ap fè tavè l	the animal went to do what I was doing for it
9144	medium	pi pou l ka retire bèt la nan men ou Men genyoun	so that he can take the animal out of your hands But there is one
9145	bad	genyoun nou ou gennda gen ti pitit la ap l ap li	one of us, you may have the little child reading it
9146	bad	moun nan pri ve yo an pi pou l gen tan koupe tètit ti pitit la menm ou menm sou beti se l kapti yo	the person in the prayers is in a hurry so he has time to cut the little child’s head even you yourself on the beti it is them who capture them
9147	bad	wè tikse m al fètè dòk menm sòso	see I went to celebrate the dock same source
9148	bad	menm sòso di m nan latwon nan kibiz fè en sògen a	the same thing I said in the round in kibiz makes a sergeant to
9149	bad	se m adjide a	it’s me who’s helping him
9150	good	ou wi moun sa anbisye	yes, that person is ambitious
9151	bad	anbisye li mafretè	ambitious, he is cold-hearted
9152	bad	bon on ti moun ki ale nan dlo rayizan pye la	well a child who went into the water, the feet are itching
9153	good	li bagay la La l ap fè yon seri debay nan dlo a	He is doing a series of dives in the water.
9154	bad	ou anpè l	you are at peace with him
9155	bad	ou ka di timoun sa a fè anpil ki sa nan dlo a	you can say this child does a lot of what in the water
9156	good	se dega ou rele sa	That’s what you call damage.
9157	good	li pa kraze anyen nou	he didn’t break anything of ours
9158	bad	li pa pa nan	he is not in it
9159	good	pa fè detay	don’t go into details
9160	bad	pa gen lòd yon ou ka di sa ankò	there’s no order you can say that again
9161	good	si se yon timoun nenpòt sa ou mete la	if it is a child, anything you put there
9162	bad	l plede manyanyen li	He keeps touching it.
9163	bad	li bede ba a le	he asked for it to go there
9164	medium	w ap di se yon timoun ki kontwolè	you are saying it’s a controlling child
9165	bad	a gen lòd jan ou ka di ankò si yon timoun ki	there is order as you can say again if a child who
9166	bad	onnon m fè sa l ap rete pale anpil la di ou yon se rite faròl	oh no, I did that, he’ll keep talking a lot there, telling you it’s a rite of passage
9167	bad	moun mou rete w ap gade l.	the person I stay watching him.
9168	good	ou pa di ranyan	you didn’t say anything
9169	medium	m ap pete yon detay avèk ou	I’m going to share a detail with you.
9170	good	se konsa sèlman ou ka divi	that’s the only way you can divide
9171	bad	m ap pete yon ki sa ankò	I’m going to burst something again
9172	medium	ou pa lè di detay	you’re not supposed to say details
9173	bad	meten li meten ou	put him in, put you in
9174	good	m ap pete yon desagre moun	I’m going to cause people trouble.
9175	good	bagaj moun yo	people’s belongings
9176	good	ki jòn moun yo konn nou renmen met nan kou yo a	the yellow thing people know we like to put around our necks
9177	medium	li vikon koulè jòn moun tivann chè anpil moun yo fè bag 5 fè bag pou yo marye	It is yellow in color; people sell it very expensively, and many people make rings, five rings, to get married.
9178	good	ki jan yo rele bay sa	What do they call that bay?
9179	good	gen gen ajan	there are agents
9180	good	a Wi donk bagay sa yo rele li	Ah yes, so that’s what this thing is called.
9181	bad	yo rele li sa yo fè bag la yo rele l	they call it that they make the ring they call it
9182	medium	yo rele an nò	they call it in the north
9183	bad	an nò wi bag la an nò men yo kenyen yo rele ba la yo rele l bon yo rele l lan	up north yes the ring up north but they hold it they call it there they call it good they call it there
9184	bad	yon lò avè pou	one gold with for
9185	medium	m ap pete yon lòbè avè pou	I’m going to make a big fuss about it.
9186	good	nou yo konn li li	we know how to read it
9187	bad	ou li ou yo konnen men	you read it they know but
9188	bad	on nonm ba egzanpe kou l wè on ak fè moun kèlbat	a man gives examples when he sees an act that makes people clap
9189	bad	y wè laja tèlbat	they see money so much
9190	bad	li wè won bagay a kèlbat	he sees a round thing of kèlbat
9191	bad	yo konn di konsa nan pran nèg tèlbagay konsa	they say that when taking a guy, things like that
9192	bad	disye tèlbat Oke	disye tèlbat Oke
9193	medium	sa yon sevisyon an	what a service it is
9194	good	yo pa di lòdi an ankò	they haven’t given the order yet
9195	medium	men tavè ou sòd di mwen bagay la	but your turn to tell me the thing
9196	bad	m ap mandise pa yon lòdi an yo.	I am begging them not to give an order.
9197	bad	pa pou di moun nan salou byen l bagay	don’t tell the person that the thing is good for them
9198	good	pa gen pwoblèm konsa tou konn	there is no such problem either, you know
9199	bad	on nonm ki vengra meton on li nèt touvèt nan tèt mil	a man who is very angry put a bullet right through the head of the thousandth mile
9200	bad	li mete men gwo sèy kadjeke.	he put his hand on the big chair.
9201	good	empi li mete	and then he puts it
9202	bad	si koulèse la ki pa la lan ansanm	if the one who is not there is together
9203	bad	empi nonm sa a vini pou l filet pitit fi w	and then this man came to court your daughter
9204	bad	w ap di son nonm ki twò ki sa la	you are saying the name of a man who is too what here
9205	bad	La yo konnen yo konn fa a twi, wii, an?	There they know they know how to do it, yes, huh?
9206	bad	wou si m pran moun ki non deyap pa la vèy	if I take people who are not there, don’t watch over them
9207	bad	non ta bè	the name would be
9208	bad	m ap esre	I am waiting
9209	bad	m t ap fòy vèn mwen mwa	I was forging my vein month
9210	good	sa yon tenis	that’s a tennis shoe
9211	good	men si m pa mete tenis sa m met nan fye moun	but if I don’t put on those sneakers, I’ll be ashamed in front of people
9212	bad	si se pa tenis se pa san dal mete	if it’s not sneakers, it’s not without wearing sandals
9213	good	chipo te tou	chipo was also there
9214	good	t Kote ke m ta achton soulye	Where would I buy shoes?
9215	good	lim chay twòf	the load is too heavy
9216	bad	sa toun sa yon prou zòtèy	that turned out to be a toe
9217	bad	pa gen lòdichan yo di lanfò	there is no order, they say hell
9218	medium	pou sou lye	to be on the spot
9219	bad	pa gen lòdichan No	there is no order No
9220	good	pou ka konn mjistrè	to know the magistrate
9221	bad	mjistrè de lòt kè wkazou	mjistrè of the other heart wkazou
9222	bad	don pou pasyon vye lòt ou be on di te	don’t let your old passion be a dead thing
9223	good	si son nonm ki renmen	if it’s a man who loves
9224	good	renmen fè mal	like to hurt
9225	good	on moun ki renmen	someone who loves
9226	bad	enterese On lòd pou l al fè s ak pa sa a	interested in an order to go do this and that
9227	good	se pa pou di vòlè w konponn	it’s not to say you’re a thief, you understand
9228	good	men on moun konsa	here is such a person
9229	bad	nou sa yon pèsistisyon, nou sa yon move moun, nou sa a, se tale, ale nou, se yon pè, on pèsistan.	we are a persecution, we are a bad person, we are this, it’s tale, go away, it’s a fear, a persistent one.
9230	bad	Wous etan w ap palye a ou di yon bagay l ap orye l at eketan fè men	While you were talking, you said something that was directing him at the same time, but then he did it.
9231	good	m pa tande	I didn’t hear.
9232	good	a se yon	it is a
9233	bad	se yon an	it is a year
9234	good	apre m al fetè	after I go to the party
9235	bad	ou kwè se yon m al fetè dè	you think it’s a bad thing to celebrate it
9236	bad	moun nonm k ap antrenene moun fè sa l pa fè l pa antrenene moun al Koupe tèt	people, a man who is training people to do what he does not do, he is not training people to go cut off heads
9237	good	ouy te malvetè	oh, you were wicked
9238	bad	nan moun bagay	in people things
9239	medium	li va kabò	he will be able to do it
9240	good	li gen dwa a	he has the right to
9241	good	e ap anmèk 2 lòt la	and it will annoy the other two
9242	good	sa pa fè nèg la plèz a	that doesn’t please the guy
9243	bad	malgre sa l avanmèk de l.	despite that, he had it before him.
9244	bad	A, teto moun konpletan, vwè mwen konpetan, li pa t ap janm pè pès te moun nou moun ki jan konprann.	Ah, this person is completely, you see me competent, he would never be afraid of any person, our people, people who understand.
9245	bad	Li pa pèsis ton moun fwon bagay	He doesn’t insist on people’s forehead thing.
9246	medium	yo moun nou wè moun sa a	we are people, we see that person
9247	good	li pa sa moun sa a	he is not that person
9248	bad	ou pa pèsis te lòt la moun fwon bagay	you didn’t insist on the other person’s thing
9249	bad	li pa pèsis te kou l fwon anyen	he didn’t notice anything at all
9250	bad	sòn nonm komsi m ta di ou depi wè ou moun	a man’s sound, as if I were to tell you, from the moment I saw you, you were a person
9251	medium	sa l konnen pou pa renmen pou di a	what he knows not to like to say
9252	good	se te men m lap di ou	it was me who was telling you
9253	good	pou l sa fò ou move	so that it makes you angry
9254	bad	joure manman fin debò de	curse the mother, end of the line
9255	bad	li kòt kòt kòt la kache	it is hidden side by side side by side
9256	medium	li ve pi devan jwenn on nèg	he wants to go forward and find a guy
9257	bad	pa ekanpisi yo ta di nèg Nèg la gwo ven	not even if they were to say the guy is a big loser
9258	good	nèg la fache	the man is angry
9259	bad	li gwo drenn	he is a big drain
9260	good	son moun ki	they are people who
9261	bad	tè konsa sèl monkadi	so much land, only monkadi
9262	bad	l dan bèdan	the teeth in the belly
9263	bad	ou ni sou moun	you have on someone
9264	medium	e konmou ki men ou ni sou moun	and how you have your hand on someone
9265	medium	di sa anpil isi	say that a lot here
9266	bad	sa se pa betis li ye men Men kanmèm sèm kesyon fò w konn janma yo rele	this is not a joke but still sister question you have to know what they call it
9267	medium	ou konnen gen fi sòm gason l pran l	you know there are some women whose husbands take them
9268	good	yo ret nan kray avèk li	they stayed in the pen with him
9269	bad	men gen fi tou ki pa besan gason sa ak fi parè yo yo fè	but there are also women who do not need that man and the women around them they make
9270	medium	yo fè sa yo besan	they do what they need to do
9271	good	yo fè bagay.	they do things
9272	bad	Wè, li genyen an rele moun sa yo an?	See, does he have the one called those people?
9273	bad	men, madivinèz li pa gen lòt nou ankò sou konn nou mèt di m, nou, pou pa konnen?	but, his lesbian partner doesn’t have any other of us anymore on know us, can I say, us, to not know?
9274	bad	men, madivin, fanm lawòm!	but, lesbian, lawòm woman!
9275	bad	Se moun ki fè vif ye ak fi wi, alè moun mwen.	It is people who are lively, yes, and girls, my people.
9276	bad	Bondye nan Bondye akay men a	God in God, house, but hand to it
9277	good	ti moun Granfon	the child of Granfon
9278	bad	ti moun ki très a apò ti moun Kouwè	the child who is very close to the child Kouwè
9279	bad	gwen yon mesye kabilse li	I have a man who is courting him.
9280	bad	kabilse vin desann li	maybe come down it
9281	bad	kan moun zanm li	when his friend is a person
9282	good	men yo toujou wè li	but they still see it
9283	bad	Yon sekyèt a rive	A secret has arrived
9284	bad	li vini kajwil a	he came to Kajwil
9285	bad	li wè ti nèg lè kati a	he sees the little boy when the cat is there
9286	bad	pè li mande pa ranti nèg la	he is afraid to ask the man not to lie
9287	bad	kòm li mande zidrestyi an fè l prizanke pa ranti nèg l	as he asks zidrestyi to make him almost not lie to his man
9288	good	se yo prezante yo.	they introduce themselves.
9289	good	yo wè sète dòm te byen	they saw that the dome was good
9290	bad	yon moun nan dosaj	someone in dosage
9291	bad	a li mande pou mwen fa mi ti moun nan	and he asked me to make the child’s family
9292	bad	Pa mi ti nonm la li, yo pwetis an te l favre te m a.	Not my little man, they were almost going to favor me.
9293	bad	La, li pran an dèz wout dyans avèk refavèk li moun la a, fè ba li, yo ba l dinari a.	There, he took a dozen coins with his servant from that person, gave it to him, and they gave him the dinar.
9294	bad	La, li pran ti moun la, li pran a, tandiske se pa avni la antre rapò Wtopèl, da pa bi ti nèg la.	There, he took the child, he took him, whereas it is not the future that enters into the relationship of Wtopèl, but rather the little guy’s purpose.
9295	good	pou l poul sèv avè l	to serve him with it
9296	good	pou l sèv avè l	to serve him
9297	medium	li bat ti nèg la chanm li	he beat the little boy in his room
9298	bad	li lande l mati nèg la	he landed on the black man’s mat
9299	bad	pèp ti nèg la l wè l	the little black people saw him
9300	bad	atwot menm mangizyoun	too much, even mangizyoun
9301	bad	moun li vin pou an frè ti nou nou	the person he came for as our little brother
9302	medium	men se prepari	but it is prepared
9303	good	l ap prepari ti nèg la	He is preparing the little boy.
9304	good	kòm tak mwen	as for me
9305	bad	nè pòt ti moun	child door lock
9306	medium	moun t ap ap bwès yo la peyi.	people were drinking there in the country.
9307	medium	Lè ti moun nan vin fòme an pi se lè a ti moun nan an wè kote l meziwe	When the child grows up, that is when the child sees where he is measured.
9308	bad	lò ti nèg la vin moun dò	when the little guy became a thief
9309	bad	li pouvouzye ti nèg li	he is jealous of his little guy
9310	medium	an pi se lè a pa ranyan ba l apite.	and then the time is not right for him to have an appetite.
9311	medium	pou l vivabèl l	so that it can be lived in
9312	bad	an tèm masisik wouj	in terms of red massic
9313	good	sa vin pite yon gran lòbèy	it became a big uproar
9314	bad	ey la t iranm nan anba la	hey there, the Iran thing down there
9315	bad	e sa vin tonba la ap ken	and that will keep falling there
9316	bad	mesye menm menm	the same man
9317	bad	pa anti nèg lagon frè li wè li kis lè l	not against the lagoon man, his brother saw him, what time is it?
9318	good	e li asè	and it’s enough
9319	good	e sa vin	and it becomes
9320	medium	nan pa l Moun yo rele moun sa yo pèderas tou	in his own way people also call those people losers
9321	bad	non Wa konnen yo rele yo kontre mousach nan OK	No, you know they call them mousach against OK
9322	good	ki gen 3 pye	which has 3 feet
9323	medium	ki konsa li nan yo rele yo.	so that’s how they call them.
9324	bad	Se l ban wile ligen twa ti pyye anba li	If you give it to him, he has three little feet under it
9325	good	twa ti pyye	three small feet
9326	medium	twa pi twa byè	three plus three beers
9327	good	se chèz li ve li	it’s the chair he wants
9328	bad	sa m chita	what I’m sitting on
9329	bad	rignan n ren be la	I am here.
9330	bad	Alò ti bagay sa a touze chèf zè yo rele vi Non	So this little thing also drenched the egg chiefs called life No
9331	bad	yo li sa yo li sa platou	they read that they read that plateau
9332	good	yo parole bay sa yo tabourè tou	they also gave those stools to them
9333	bad	yo parole l ban kèt tou pou yo rele sa ban	they spoke to him to give him a question too so they call that give
9334	bad	yo rele sa ban	they call that a bench
9335	bad	li ban kèt tou	He gave me the whole thing too.
9336	good	ban kèt yon kesyon la ankò	ask me that question again
9337	bad	nan te kite dèyè paske pa t democran reponne	we left behind because there was no Democrat to respond
9338	medium	se 19 2005 Se moun bagai fòm si mta di ou	it’s 19 2005 It’s people’s thing, if I were to tell you
9339	bad	lè yo pran si ou pran nan	when they take if you take in
9340	good	yo bouyi li	they boiled it
9341	good	lè yo bouyi li yo bay li yo pran yo mete l nan tach palmis	when they boil it they give it to him they take it they put it in the palm patch
9342	bad	empi yo konn koupe l pamak	and then they know how to cut it by mark
9343	bad	moun yo konn fè te nonte fè te fè ka fè nonta avèk li	people know how to make tea, make tea, make tea, can make tea with it
9344	good	yo rete bay Isalla a.	they stayed by Isalla.
9345	bad	Gen yon bagay yo konn achte ki konn gen etwal sou boutèl ak gen yon rele bay sa yo	There is something they buy that has stars on the bottle and there is a call given to those things
9346	medium	gen yon bagay se yon bwa	there is something that is a wood
9347	bad	ki konn genyen yo koupe li	they usually cut it
9348	good	lè yo koupe li yo pran l	when they cut it, they take it
9349	good	yo mete l nan dlo yo mete sik	they put it in water they put sugar
9350	bad	yo konn fan l nan mache lè w al achte yo bwè	they know how to fan it in the market when you go buy them drinks
9351	bad	bwa konnen l?	Do you know him?
9352	good	yo konn vann nan mache	they usually sell in the market
9353	good	lontan se bagay se bagay ki te ti komen moun konn achte nan mache kouwèl	Long ago, it was something that people commonly bought at the market in Kouwèl.
9354	bad	ba konn sou konnen	let know about knowing
9355	bad	moun bwa di kon tigou alkòl toupe ti we	people are as stubborn as a little bit of alcohol, too, you see
9356	bad	kon tigou bay.	a little bit given
9357	good	Grandmoun nou tan yo konn bwè sa anpil nan mache	Our elders used to drink this a lot in the market
9358	good	li kimen yo anik pran li yo videy nan ti boutèy piti yo yo konn bay	they smoke it they just take it they pour it into the little bottles they usually give
9359	good	kwa konnen yo	who knows them
9360	medium	fò konnen yo konn tande yo pale de sa moujè	you should know they often hear people talk about that, my dear
9361	bad	remenki n api	I love you too.
9362	bad	pou konnen ale nan maryaj	to know go to the wedding
9363	bad	bon ti bagay blanch yo fè avèk tou lèt	good little white things they make with all milk
9364	medium	epi yo mete ti cleren ladan li pou l sa rete touskiyè orèy bay sa yo sèvi moun yo kouvrè	and they put a little clairin in it so it can stay all night for what they use to cover people
9365	bad	yo pa sèvi wanpil nan yo mete sèvi nan	they don’t use many of them to put use in
9366	medium	No, nou rele sa kremas, boutèy, boutèy nèk yo konn fè mete klere mete anpil bagay ladèyou a, ki nou rele sa?	No, we call that kremas, bottles, bottles that they sometimes make shine and put a lot of things inside, what do we call that?
9367	bad	boutèy tranpe sa yo konn tranpe ladèn nan la, klere, moun bay konsa nou boutèy li tonbe, sòb dit tonbe a.	Those soaked bottles are usually soaked in there, shining, people give like that, our bottle fell, sober said it fell.
9368	bad	Yo pa gen lòt nou yo konn reyle l ankò sou pa ta vle di klere an tonbe en vi	They don’t have any others; we used to call it that too, it would mean shining, falling into life
9369	good	ou di gwog la tonbe	you said the big one fell
9370	good	pa gen lòt nou ankò	there are no others anymore
9371	bad	nou m kòve gwon lòt nou yo	we are working our big others
9372	bad	pou pa vle di gwog la tonbe	so as not to say the bottle fell
9373	good	ou a di klere an tonbe	you said the light fell down
9374	bad	ou di e 3 zèon me konni	you said it and 3 hours but know
9375	good	3 zèon yo.	3 o’clock.
9376	good	Mwen konnen kleven gwoason e Gwòg	I know Kleven, the big boy, and Gwòg
9377	good	se sa ki tout moun konnen	that is what everyone knows
9378	bad	Tafya M bagay yo fè avèk kleven zo an si epi bagi yo rele sa.	Tafya M things they make with bone marrow and then they call it that.
9379	good	yo rele sa a.	they call this one.
9380	medium	Sipote ke yo ta pran an	Suppose they would take one
9381	bad	on bagay yo konn fè arègze tou li yo konn	one thing they also know how to do is arrange it
9382	good	yo konn medite nan bay la tou	they also meditate in the bay
9383	bad	yo medit kreren yo vè te se yo minn pa	they were thinking about their kreren toward the earth they are not mine
9384	good	yo genyè yo rele l.	they called him.
9385	good	Donk se kòktèl	So it’s a cocktail
9386	good	nonmèt di sa ou konnen	don’t say what you know
9387	bad	ou bakonn lòt an kòkèl	you don’t know the other one at all
9388	bad	li fwon limaj	he fronts the image
9389	medium	mn lò dakò sa taka bagay pitè tout tavat wò byen konpron mwen	I agree that this could be a little thing, but all the same, understand me well.
9390	bad	men si poze ke se pont yon mache l mache l Pi li rifon pote	but suppose it is just a bridge, he walks it, and then he carries it back down
9391	bad	nan li bouki	in it, bouki
9392	bad	men se fondan li kanpe epi moun bagay ki pase yon nan je li pòm si yon nwaj men li bondije an pawè	but it is the foundation it stands and people thing that happened one in his eye apple if a cloud but he goddamn in power
9393	good	li gen yon ki sa la	he has something there
9394	good	li gen yon nwaj	he has a cloud
9395	bad	nou nwaj ki pase yon nan je.	we are clouds that pass in one eye.
9396	bad	ki pase nan reken ni men son bagay ki fè nou a la pase nan gen la	what happened in the shark there is something that makes us pass there too
9397	good	sòdi reyen la	the king’s exit
9398	medium	nan genjan w tak ap di wi	in any way you were going to say yes
9399	good	li gen sou laj	he is about that age
9400	bad	m bèt wò kleren sa ak rive l	I drank that clear liquor and got drunk.
9401	bad	se sou sènman li dekonpoze	it’s only on the scene that it falls apart
9402	good	kounen li dekonpoze	when it decomposes
9403	bad	wi moun nan konn rive nou Moun sans	yes the person can reach us People without
9404	good	li pa konn sa l ap fè mèm	he doesn’t even know what he’s doing
9405	good	moun sa gaga	that person is crazy
9406	medium	onti yon mann tan li fè salad gen yon boutèy devan l te ka	One time he was making salad, there was a bottle in front of him.
9407	medium	retan onti yon mann tan konn ka	wait a little while to know what can happen
9408	good	pou tout jounen an yo konn sa l ap fè	for the whole day they know what he is doing
9409	medium	sa l ap fè la lap	what is he doing there?
9410	bad	lap mouye konsi li	it’s wet like him
9411	good	l ap bwè	he is drinking
9412	good	tansanthan l ap pran	while he is taking it
9413	medium	si pou zèke n ap mache	if for a while we are walking
9414	medium	pi l len ap wè si l ap pran	the longer he waits, the more he’ll see whether he’ll take it
9415	bad	t ap pran devan lò	was taking the lead in gold
9416	good	sa y ap fè la n ap.	what they are doing there, we are doing
9417	bad	Lè ap wè si l ap rande fò lòt re, n ap manke vit vit debò ranch w ap sou ke ragay sa yo.	When you see if he will give strength to the other king, we will quickly miss out on the side of your hip, you will be on the tail of these rags.
9418	good	Madin L Mache ankò	Madin L walks again
9419	bad	Moun sa Mache kòk moun kan la	That person walks like a rooster.
9420	bad	Makan lòd jen ankò yo Kadin L Mache	Makan order again they Kadin L Mache
9421	bad	Simoun sa a pa ekzanp etan la pou Mache a	This wind is not an example of being there for the market.
9422	good	Li sòt tonbe sal fè li kapote lò pwont dlo	He had just fallen when he flipped over in the water.
9423	good	ou fè sa a sòb fè la	you did what the fool did
9424	good	ou vide l.	You emptied it.
9425	bad	Bò, ou pa ka di piske moun nan se sou sal li ton dlo.	Well, you can’t say because the person is on his own, the water spilled.
9426	bad	li vide kon latè moun lè won nonm se sou l sou e vil èfini bon sa rive li kisa	he pours like the earth people when a man is on him and the city is finished good what happened to him what
9427	bad	ou li li ka ou ka di l kapote	you read it you can say it’s tipping over
9428	bad	li vidye kòll atè	he emptied his body on the ground
9429	bad	li kapote ki sa ou ka di akò	he is wondering what you can say about it
9430	good	nenpòt moun ka tonbe	anyone can fall
9431	bad	se klewe anmen.	it is nailed down.
9432	bad	Mwen ki fè sanm defò moun anjan pouvi sa	I am the one who made it seem like a person was deformed for this reason.
9433	bad	pa wòl ki pas sa popon di sa w ka di moun sa a egarè	it’s not your role to say what you can tell that person is lost
9434	bad	egarè se se pa t pouye moun sa a moun sa a sou moun	lost, if it weren’t for this person, this person over people
9435	bad	sou moun tèt pa bye gen lòd chon w ka di san kò ou	on people whose heads are not well ordered, you can say without your body
9436	bad	ou mèt di m di ou kadev	you can tell me I told you kadev
9437	bad	se pandan se pa yon moun jwe yèlman k ap voye wòch nou k ap bagay	it’s while it’s not a person playing around who is throwing stones that we are doing things
9438	good	yon moun li la	someone is there
9439	bad	li konn ap vive pawòl ki pa sa	he knows how to live words that are not right
9440	medium	onlè li di bon pawòl	only when he says good words
9441	medium	onlè li di sa k pa sa	only when he says what is not right
9442	medium	moun tou mantal.	people are all mental.
9443	good	se Toub Bontal yo di Toub Bontal	it is Toub Bontal they say Toub Bontal
9444	good	e vwè konsa yo di Toub Bontal	and so they said Toub Bontal
9445	medium	alò wou di li moun tèt pa byen answit	so you told him the person is not right in the head afterward
9446	good	moun sa li fou, li fou, answit.	That person is crazy, crazy, then.
9447	good	Moun sa moun sa yentatad	That person, that person is stubborn.
9448	medium	wi pa konnen yentatad la	yes I don't know the whole thing
9449	good	yentatad la sa bi di moun nan pa gen nanm	the state of being possessed means the person has no soul
9450	bad	li pa gen nanm ètikè se yon gran moun ki ka yentatad la	he has no soul, he is a grown man who can be there by himself
9451	good	wi sankanpò si se yon jèn moun	yes, especially if it’s a young person
9452	good	se se yon jèn moun	it is a young person
9453	bad	men men sa sa se pa se pa yon gran moun Sipa egzanp la w ap mache	but this this is not is not an adult if for example you are walking
9454	good	epi lò w fè sò w mache	and when you make your fate work
9455	good	ou fè ou wout	you make your way
9456	good	lò w fè wout	when you make your way
9457	bad	lò pwonk se lakayou	when the problem is at home
9458	medium	ta pwadan pou se lòg do wè se pa lakayou	it would be better to see that it is not your home
9459	bad	sa li gen wout	what he has to do
9460	bad	lò fini ou pwonk li a	when you finish, you’ll prick it
9461	good	m'sye ou pèdi	sir, you’re lost
9462	bad	ou fin di moun mo l a	you already told people his word
9463	bad	kenbe mo sa a tou tou tou tou moun kounen lè m dou yo	keep this word for everyone to come back when I’m sweet to them
9464	bad	san bagay m ap chache mwen sou kounen.	without anything I’m looking for myself on the way back.
9465	good	bon, sipose ki vè l rele sa?	Well, suppose that’s what he calls it?
9466	bad	bon èske moun sa w bagay li li fè k isan	well, is this person doing his thing here?
9467	good	li pèdi fèy tèt li	he lost his mind
